Link,Location,Update Date,Deadline,Salary,Experience,Rank,Job Type,Briefcase,Welfare,Job Description,Job Requirement,Job Location,Other Information
https://careerviet.vn/vi/tim-viec-lam/ecommerce-operation-executive.35C26A3A.html,Hồ Chí Minh,13/11/2024,13/12/2024,12 Tr - 13 Tr VND,2 - 5 Năm,Trưởng nhóm / Giám sát,Nhân viên chính thức,"Bán hàng / Kinh doanh, Tiếp thị trực tuyến, Tiếp thị / Marketing","Laptop, Chế độ bảo hiểm, Du Lịch, Phụ cấp, Xe đưa đón, Đồng phục, Chế độ thưởng, Chăm sóc sức khỏe, Đào tạo, Tăng lương, Công tác phí, Phụ cấp thâm niên, Nghỉ phép năm","MÔ TẢ CÔNG VIỆC
Chịu trách nhiệm hình ảnh và thông tin sản phẩm, giá niêm yết, làm việc với designer sản xuất các bộ thumbnail, SIS cho Shopee/Lazada/Tiktokshop
Set up chương trình khuyến mãi, tồn kho hàng bán, chương trình quà tặng trên hệ thống bán hàng và các sàn Shopee/Lazada/Tiktokshop
Theo dõi, phân tích các chỉ số hoạt động của sàn TMĐT, làm việc với các đơn vị liên quan để đảm bảo thời gian bàn giao cho đơn vị vận chuyển đúng hạn
Đưa ra phương án xử lý khi khách phản hồi khiếu nại, submit các giấy tờ liên quan với sàn nếu cần thiết
Thu thập và nghiên cứu dữ liệu, hoạt động của đối thủ trên thị trường
Đối chiếu, kiểm kê hàng hóa, hóa đơn, chi phí, doanh thu đúng thời hạn
Các công việc khác theo sự phân công của quản lý
Working conditions:
Workplace: 08 Phan Dinh Giot, Ward 2, Tan Binh dist., HCMC.
Working hour: 08:30 - 18:00 (Monday - Friday).","YÊU CẦU CÔNG VIỆC
Ít nhất 2 năm kinh nghiệm trong lĩnh vực quảng cáo trả phí hoặc tiếp thị kỹ thuật số tích hợp hoặc hoạt động kinh doanh thương mại điện tử hoặc hoạt động TikTok, với kinh nghiệm và kết quả nổi bật trong hoạt động kinh doanh;
Có khả năng phân tích và sáng tạo, định hướng số liệu, nhưng có thể đưa ra các giải pháp sáng tạo cho vấn đề và không ngại thử những ý tưởng mới;
Khả năng học hỏi tốt, có thể nhanh chóng tiếp thu kiến thức và kỹ năng trong các lĩnh vực mới;
Kỹ năng giao tiếp tốt: nói, viết và PowerPoint;
Team player: Một tính cách hợp tác với khả năng phát triển mạnh mẽ trong một môi trường chéo cao;
Khả năng chịu đựng căng thẳng tốt và không sợ thử thách;
Định hướng mục tiêu mạnh mẽ và chịu trách nhiệm về kết quả.
*** PHÚC LỢI:
- Thưởng hiệu suất tháng từ 5% đến 20% tiền lương;
- Thưởng thành tích cá nhân và bộ phận theo quí;
- Chế độ nâng lương một năm tối thiểu một lần;
- Thưởng vào những dịp lễ lớn trong năm;
- Tổ chức du lịch hoặc phát tiền phúc lợi hằng năm;
- Thưởng lương tháng 13;
- Tổ chức và phát quà sinh nhật cho CBCNV có sinh nhật;
- Hưởng tiền phúc lợi khi kết hôn, ma chay (500.000VNĐ - 3.000.000VNĐ);
- Đóng Bảo hiểm trên tổng tiền Lương, tham gia bảo hiểm 24/24;
- Tặng phẩm hằng tháng cho Con của CBCNV (1 tháng tuổi đến 24 tháng tuổi) và CBCNV.",Not Found,"Độ tuổi: Không giới hạn tuổi
Lương: 12 Tr - 13 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/truong-phong-phap-che-honor-vn.35C26A39.html,Hồ Chí Minh,13/11/2024,31/12/2024,35 Tr - 70 Tr VND,3 - 5 Năm,Quản lý,Nhân viên chính thức,"Bán lẻ / Bán sỉ, Bán hàng / Kinh doanh","Laptop, Chế độ bảo hiểm, Du Lịch, Chế độ thưởng, Đào tạo, Tăng lương, Công tác phí, Nghỉ phép năm","MÔ TẢ CÔNG VIỆC
• Biên soạn và tham mưu cho Ban lãnh đạo các vấn đề liên quan đến: Hợp đồng mua bán sát nhập doanh nghiệp, hợp đồng mua bán , hợp đồng Đấu thầu – Mua sắm,…
• Xây dựng, cải tiến, ban hành các quy chế, quy định liên quan đến pháp luật trong kinh doanh để triển khai hoặc đảm bảo việc thực hiện/tuân thủ đầy đủ các yêu cầu của pháp luật trong các hoạt động kinh doanh của Tập đoàn.
• Đề xuất các giải pháp cho Ban Lãnh đạo và các đơn vị thuộc Tập đoàn đảm bảo hoạt động đúng theo quy định pháp luật và đảm bảo quyền lợi của Tập đoàn.
• Nghiên cứu tìm hiểu, cập nhật thường xuyên các thông tin mới nhất về pháp luật có liên quan tới hoạt động của Tập đoàn và gửi cho các phòng ban có liên quan theo yêu cầu.
• Tổ chức cập nhật và đào tạo hướng dẫn văn bản luật mới có liên quan đến hoạt động của Tập đoàn cho các phòng ban, đơn vị liên quan.
• Dự thảo, xây dựng, sửa đổi, bổ sung Điều lệ của Tập đoàn.
• Kiểm tra tính pháp lý của hợp đồng, hồ sơ pháp lý trước khi ký kết.
• Đại diện hợp pháp của Tập đoàn tham gia các hoạt động tố tụng, tranh chấp để bảo vệ quyền và lợi ích hợp pháp của Tập đoàn theo ủy quyền
• Xây dựng và thẩm định về mặt pháp lý các văn bản như: quy định, quy chế, nội quy… của Tập đoàn.
• Tổng kết đánh giá những vướng mắc trong quá trình thực hiện pháp luật liên quan đến hoạt động sản xuất kinh doanh của Tập đoàn, báo cáo đến Ban lãnh đạo để kiến nghị sửa đổi, bổ sung, hoặc đề xuất biện pháp phòng ngừa các rủi ro pháp lý.
• Theo sự sắp xếp của công ty","YÊU CẦU CÔNG VIỆC
Tốt nghiệp đại học trở lên chuyên ngành Luật doanh nghiệp, kinh tế,…
Có chứng chỉ Luật sư.
tiếng Anh hoặc tiếng Trung tốt
Vi tính văn phòng.
Ít nhất 3 năm kinh nghiệm tại vị trí Giám đốc/Trưởng Phòng Pháp chế
Có kỹ năng soạn thảo, trình bày văn bản chuẩn mực.
Có khả năng làm việc độc lập với cường độ công việc cao
Kỹ năng lãnh đạo và truyền cảm hứng, tạo động lực phát triển.
Có có kỹ năng tổ chức, quản lý và điều hành nhóm hiệu quả và có thể thực hiện đào tạo nghiệp vụ cho các phòng ban khác.
Giao tiếp tốt, năng động. Có khả năng nắm bắt nhanh và truyền đạt tốt nội dung công việc.
Tinh thần trách nhiệm cao, thẳng thắn, trung thực, cần mẫn và sáng tạo.",Hồ Chí Minh,"Bằng cấp: Đại học
Độ tuổi: 27 - 40
Lương: 35 Tr - 70 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/email-marketing-specialist-inside-sales-representative.35C26A38.html,Bà Rịa - Vũng Tàu,13/11/2024,30/11/2024,20 Tr - 30 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,Nhân viên chính thức,"Tiếp thị / Marketing, Xuất nhập khẩu, Đồ gỗ","Laptop, Chế độ bảo hiểm, Du Lịch, Phụ cấp, Xe đưa đón, Chế độ thưởng, Chăm sóc sức khỏe, Đào tạo, Tăng lương, Công tác phí, Nghỉ phép năm","MÔ TẢ CÔNG VIỆC
Customer Pipeline Management: Maintain and update a pipeline of qualified prospective customers by performing administrative tasks to keep records organized and accessible.
Market Research: Conduct thorough market research on targeted customers, identifying key trends, customer needs, and opportunities for engagement.
Reporting: Compile and report findings in a standardized format to provide clear insights to the U.S. team. Ensure timely, accurate, and consistent reports that highlight relevant information for decision-making.
Lead Generation and Development: Develop and acquire new customer leads for ALS. Manage the customer journey from prospecting to nurturing, turning qualified leads into long-term business opportunities.
Customer Communication: Proactively engage with prospective customers through email marketing and other digital communication channels. Build and maintain professional relationships with both customers and internal ALS teams.
Prospect List Management: Create and sustain a high-quality prospect list, documenting essential contact details, key events, customer pain points, and other relevant information.
Collaboration with Cross-functional Teams: Work with cross-functional teams to develop and execute action plans that address company and customer needs effectively.
Sales Presentation Development: Develop and maintain professional sales presentations (PowerPoint, PDFs, etc.) to communicate the company’s value proposition effectively. Gather customer feedback to make data-driven improvements.
Email Marketing Campaigns: Draft and send compelling, targeted email marketing campaigns to engage prospective customers, increase brand awareness, and convert leads. Track and optimize campaigns based on performance data.
Sales and Performance Reporting: Support the ALS team in tracking and reporting on various initiatives, including performance goals related to sales, prospecting, and profitability.
Core Values Demonstration: Consistently represent and uphold ALS’s core and growth values in all tasks and interactions.","YÊU CẦU CÔNG VIỆC
Educational Background: Bachelor’s degree in Sales, Business Administration, Marketing, or a related field is preferred due to the customer-facing nature of this role.
Written Communication Skills: Excellent written English communication skills are essential for effective email marketing and customer correspondence. Strong spoken English is an advantage.
Email Marketing Experience: Experience in logistics sales or a general understanding of email marketing principles is highly beneficial.
Analytical and Presentation Skills: Ability to develop professional reports, presentations, and promotional materials. Strong analytical skills to interpret data, understand trends, and make recommendations.
Project Management: Proficient in maintaining project plans, task lists, and timelines, ensuring all email marketing and sales initiatives are executed smoothly and on schedule.
Confidentiality and Professionalism: Maintain confidentiality when handling sensitive customer information and demonstrate a high degree of professionalism in all interactions.
Multi-tasking Ability: Capable of handling multiple sales initiatives and marketing campaigns concurrently, prioritizing tasks effectively.
Team Collaboration and Independence: Comfortable working both independently and in a team environment, with a proactive approach to problem-solving and task completion.
Willingness to Work Across Time Zones: Ready to work outside regular hours to accommodate U.S.-based partners and team requirements, ensuring effective communication and collaboration across different time zones.",Bà Rịa - Vũng Tàu,"Bằng cấp: Cao đẳng
Độ tuổi: 25 - 35
Lương: 20 Tr - 30 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/b4-nhan-vien-kiem-duyet-ho-so-khach-hang-khong-yeu-cau-kinh-nghiem.35C26A37.html,Hà Nội,13/11/2024,20/11/2024,6 Tr - 7 Tr VND,Not Found,Nhân viên,Nhân viên chính thức,"Hành chính / Thư ký, Nhân sự, Nhà hàng / Khách sạn",,"MÔ TẢ CÔNG VIỆC
Mô tả công việc:
Từ hệ thống của Viettel tiến hành gọi ra bằng Video để xác thực thông tin thuê bao của khách hàng; xác minh CMND/CCCD và ảnh chân dung chính chủ đối với những khách hàng đang sử dụng dịch vụ của Viettel.
Không gọi ra để sale.
Quyền lợi:
Thu nhập ổn định từ 6.000.000 - 8.000.000 VNĐ/tháng
Không yêu cầu kinh nghiệm - Được training kỹ năng và nghiệp vụ trong công việc
Môi trường làm việc chuyên nghiệp, năng động, đồng nghiệp thân thiện
Được hỗ trợ tiền gửi xe
Thử việc nhận 100% lương
Ký hợp đồng chính thức sau 2 tháng
Đóng đầy đủ BHXH, BHYT,...và hưởng các chế độ phúc lợi khác theo quy định của pháp luật
Được cung cấp đầy đủ thiết bị khi làm việc như máy tính, tai nghe,...
Lộ trình thăng tiến lên vị trí Trưởng ca/Giám sát đối những bạn thái độ tốt và có hiệu suất công việc tốt.
Thời gian làm việc: Xoay ca, làm 6 ngày/tuần, nghỉ 1 ngày bất kỳ/tuần. Có các ca làm việc như sau:
Ca 1: 6h30 - 14h30
Ca HC: 8h00 - 17h30
Ca 2: 14h30 - 22h30
Địa điểm làm việc: Tầng 2, Tòa nhà OCT 3D, Khu đô thị Handi Resco 74 Phạm Văn Đồng, Quận Bắc Từ Liêm, Hà Nội","YÊU CẦU CÔNG VIỆC
Đã tốt nghiệp Trung cấp (hoặc Cao đẳng hoặc Đại học)
Không phân biệt chuyên ngành
Độ tuổi từ 20 - 35
Kỹ năng giao tiếp, xử lý vấn đề tốt",Not Found,"Bằng cấp: Trung học
Độ tuổi: Không giới hạn tuổi
Lương: 6 Tr - 7 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/hr-staff-temporary.35C26A36.html,Bà Rịa - Vũng Tàu,13/11/2024,27/11/2024,6 Tr - 8 Tr VND,1 - 5 Năm,Nhân viên,Thời vụ/ Nghề tự do,"Hành chính / Thư ký, Nhân sự","Chế độ bảo hiểm, Xe đưa đón, Nghỉ phép năm","MÔ TẢ CÔNG VIỆC
1. Stationery and Other Office Facilities
Collecting Stationery Requests: Gather stationery requests from various departments and ensure they are recorded accurately for procurement.
Procurement in Maximo: Use the Maximo system to request and process purchase orders for office supplies and other required items.
Mineral Water Supply Management: Monitor and manage the supply of mineral water in the office, ensuring availability for all employees.
Waste Control: Oversee waste management within the office to maintain cleanliness and compliance with waste disposal protocols.
Meal Arrangements for Foreigners: Coordinate and arrange meal provisions for foreign employees or visitors as required.
Bus Monitoring: Supervise and monitor the employee shuttle bus service to ensure timely pickups and drop-offs for staff.
Payment Document Preparation: Prepare and organize payment documentation for office facilities and services, ensuring timely submission for processing.
2. Canteen Support
Daily Meal Quantity Preparation: Assist in determining and preparing the daily meal quantities required for the staff canteen.
Weekly Menu Review: Collaborate with the catering team to review and update the weekly menu, ensuring a balanced and varied selection.
Daily Menu Management: Monitor and manage the daily menu served in the canteen, ensuring it meets staff needs.
Food Quality Management: Ensure daily monitoring of food quality standards in the canteen to maintain a high standard of service.
Hygiene Control in Canteen: Oversee hygiene and cleanliness protocols within the canteen, ensuring compliance with health and safety standards.
3. Other HR Support Tasks
Weekly Headcount Report: Prepare and submit weekly headcount reports, tracking any changes in personnel numbers.
Working Hours Report: Compile and report on employee working hours for tracking attendance and productivity.
Meeting Support: Attend HR meetings as required, assisting with note-taking, preparation of materials, or follow-up on assigned actions.
Birthday Event Design: Assist in designing and planning birthday celebrations for employees, ensuring events are engaging and well-organized.
Social Media Content Creation: Take photos during company events and prepare engaging content for the company’s Fan Page, promoting a positive workplace culture.
Monthly Union Member List: Submit the monthly list of union members to ensure accurate records and compliance.
Employee Shuttle List: Prepare and send out the monthly list of employees using the company shuttle service, maintaining up-to-date records.","YÊU CẦU CÔNG VIỆC
Strong organizational skills and attention to detail.
Basic knowledge of HR practices and office administration.
Familiarity with the Maximo system is a plus.
Good communication skills for liaising with other departments and service providers.
Ability to manage multiple tasks efficiently and work in a dynamic environment.
Basic skills in design software (e.g., Canva) for event planning are a plus.",Bà Rịa - Vũng Tàu,"Bằng cấp: Cao đẳng
Độ tuổi: 23 - 30
Lương: 6 Tr - 8 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/nhan-vien-qc-lam-viec-tai-nha-may-thuc-pham-duc-hoa-long-an.35C26A35.html,Long An,13/11/2024,13/12/2024,7 Tr - 10 Tr VND,Not Found,Nhân viên,Nhân viên chính thức,"Thực phẩm & Đồ uống, Công nghệ sinh học, Hóa học","Chế độ bảo hiểm, Du Lịch, Phụ cấp, Chế độ thưởng, Chăm sóc sức khỏe, Đào tạo, Tăng lương, Công tác phí, Nghỉ phép năm","MÔ TẢ CÔNG VIỆC
Kiểm soát hoạt động tuân thủ quy trình của bộ phận sản xuất:
- Kiểm soát các thông số thiết bị sản xuất,
- Kiểm tra hoạt động vệ sinh thiết bị , dụng cụ, nhà xưởng định kỳ theo quy định,
- Kiểm soát hoạt động tuân thủ quy định PRP trong khu vực sản xuất,
- Kiểm soát các chỉ tiêu ảnh hưởng đến chất lượng sản phẩm theo tần suất quy định,
- Hiệu chuẩn thiết bị phân tích định theo hướng dẫn,
(Các chỉ tiêu ảnh hưởng đến chất lượng: hóa chất, bao bì, nước, chất lượng nguyên liệu...)
Kiểm tra đánh giá chất lượng sản phẩm trên các công đoạn của quy trình sản xuất:
- Kiểm tra các chỉ tiêu, thông số chất lượng trong từng công đoạn theo tần suất quy định,
- Lấy mẫu phân tích và lưu mẫu theo đúng số lượng, ví trí đã quy định.
- Cập nhật hồ sơ sản xuất định kỳ theo đúng quy định
- Giám sát tuân thủ, đánh giá và cải tiến quy trình quản lý chất lượng
- Thực hiện các nhiệm vụ khác được phân công","YÊU CẦU CÔNG VIỆC
Tốt nghiệp tối thiểu cao đẳng chuyên ngành công nghệ thực phẩm, hóa thực phẩm, chế biến và bảo quản nông sản;
Các sinh viên mới ra trường sẽ được đào tạo;
Chấp nhận đi ca;
Hiểu biết về các tiêu chuẩn ISO, HACCP..
Các kỹ năng chuyên môn cần thiết: kỹ năng phân tích hóa học, lý học và sinh học; Khả năng cảm quan; 
Cẩn thận, chính xác, chủ động sáng tạo, trug thực, nhiệt tình.",Long An,"Bằng cấp: Cao đẳng
Độ tuổi: 22 - 27
Lương: 7 Tr - 10 Tr VND"
https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-xu-ly-no-phap-ly-can-tho-ta108.35C26A34.html,Cần Thơ,13/11/2024,30/11/2024,Cạnh tranh,1 - 3 Năm,Nhân viên,Nhân viên chính thức,"Bán hàng / Kinh doanh, Bảo hiểm, Ngân hàng","Chế độ bảo hiểm, Du Lịch, Phụ cấp, Chế độ thưởng, Chăm sóc sức khỏe, Đào tạo, Tăng lương, Công tác phí, Phụ cấp thâm niên, Nghỉ phép năm, CLB thể thao","MÔ TẢ CÔNG VIỆC
Tổ chức thực hiện công tác quản lý và thu hồi nợ (mảng tố tụng) bao gồm:
Tiếp nhận thông tin/hồ sơ vay của các Khách hàng đang có nợ xấu tại VPBank để xử lý.
Thực hiện các biện pháp tác nghiệp để thu hồi nợ, theo dõi cho đến khi KH tất toán khoản vay cho VPBank.
Nộp đơn tố giác/hồ sơ khởi kiện và đại diện cho VPBank tham gia tố giác/tố tụng tại các cơ quan Công an, Tòa án, …
Quản lý hồ sơ xử lý nợ trong phạm vi công việc được giao. Báo cáo về công tác xử lý nợ định kỳ và đột xuất theo yêu cầu của lãnh đạo.
Tham gia vào các buổi họp thường xuyên về lập kế hoạch công việc, vận hành và rà soát hiệu quả công việc trong nhóm.","YÊU CẦU CÔNG VIỆC
Tốt nghiệp Trung cấp trở lên, ưu tiên tốt nghiệp các chuyên ngành Luật, Tài chính ngân hàng.
Ưu tiên ứng viên có kinh nghiệm làm việc trong lĩnh vực tương đương tại các Ngân hàng, AMC, Tổ chức Tài chính, Công ty Thu hồi nợ, …
Ứng viên chưa có kinh nghiệm sẽ được đào tạo về kỹ năng, chuyên môn nghiệp vụ trong quá trình làm việc.
Có kỹ năng giao tiếp, đàm phán, thương lượng. Giọng nói rõ ràng, dứt khoát.
Có khả năng làm việc dưới áp lực cao, xử lý tình huống linh hoạt.
Có sức khoẻ tốt, chịu khó, thông thạo đường phố.
Sử dụng cơ bản các ứng dụng tin học văn phòng Word, Excel, Outlook, …
QUYỀN LỢI
Thu nhập hấp dẫn, lương thưởng cạnh tranh theo năng lực
Thưởng các Ngày lễ, Tết (theo chính sách ngân hàng từng thời kỳ)
Được vay ưu đãi theo chính sách ngân hàng từng thời kỳ
Chế độ ngày phép hấp dẫn theo cấp bậc công việc, được hưởng chế độ du lịch hè
Bảo hiểm bắt buộc theo luật lao động + Bảo hiểm VPBank care cho CBNV tùy theo cấp bậc và thời gian công tác
Được tham gia các khóa đào tạo tùy thuộc vào Khung đào tạo cho từng vị trí
Thời gian làm việc: từ thứ 2 – thứ 6 & sáng thứ 7 
Môi trường làm việc năng động, thân thiện, có nhiều cơ hội học đào tạo, học hỏi và phát triển; được tham gia nhiều hoạt động văn hóa thú vị (cuộc thi về thể thao, tài năng, hoạt động teambuiding...)",Not Found,"Bằng cấp: Cao đẳng
Độ tuổi: Không giới hạn tuổi
Lương: Cạnh tranh"
https://careerviet.vn/vi/tim-viec-lam/service-engineer.35C26A31.html,Hồ Chí Minh,13/11/2024,03/02/2025,"600 - 1,000 USD",Trên 2 Năm,Nhân viên,Nhân viên chính thức,"Cơ khí / Ô tô / Tự động hóa, Điện / Điện tử / Điện lạnh, Bảo trì / Sửa chữa","Chế độ bảo hiểm, Du Lịch, Phụ cấp, Đồng phục, Chế độ thưởng, Chăm sóc sức khỏe, Đào tạo, Tăng lương, Công tác phí, Phụ cấp thâm niên, Nghỉ phép năm","MÔ TẢ CÔNG VIỆC
Technical Service: Provide Performing Installation, commissioning, training, application support, maintenance, calibration services and repairs for customers
Timely updating of service management tools, service reports, and calibration certificate
Troubleshoot via phone, email or in-person
Email communication with machine manufactures for troubleshooting support and technical clarifications
Attend meetings with regards to installations, calibration service matters, technical solutions and administrative matters of the company
Proper managing of service job schedule, service tools, and workshop
Report and update the installed equipment database, calibration database.
Cooperate and coordinate with team members and other departments, in order to offer solutions that fulfill the customer’s needs
Provide excellent service to customers by giving undivided attention and focus on meeting their needs
Find solutions to customer problems and complaints to maximize satisfaction
To assist in projects as required by the management.
Willing to work extra hours to complete tasks and fulfilling customer’s needs.
Ability to be available and on-call 24 hours per day.
Full time employment
Working day: from Mon to Fri","YÊU CẦU CÔNG VIỆC
Minimum 2 years of work experience required, priority given to candidates who have worked in industrial maintenance technical positions or in servicing high-tech products at Scientific and Technical Equipment Companies
Education: Degree in Engineering (automation, electrical & electronic, mechatronics) or similar
Good technical knowledge, troubleshooting
Able to work well under pressure.
Able to work self-reliantly.
Strong planning and analytical skills
Well organized, high sense of responsibilities, teamwork.
English: Fair level of English, written and spoken
Male only",Hồ Chí Minh,"Bằng cấp: Đại học
Giới tính: Nam
Cơ hội huấn luyện: Regularly trained oversea (Germany, Japan, Thailand, Singapore...)
Độ tuổi: Không giới hạn tuổi
Phúc lợi:
• Salary: 600USD - 1000USD depending on experience and ability
• Insurance policies according to state regulations.
• Opportunities for promotion and income enhancement for capable, enthusiastic, and long-term oriented individuals
• Annual salary review.
Ngày nghỉ: 14 days of annual leave
Lương: 600 - 1,000 USD"
https://careerviet.vn/vi/tim-viec-lam/ke-toan-truong-giam-doc-tai-chinh.35C26A30.html,Hồ Chí Minh,13/11/2024,31/12/2024,"1,000 - 1,500 USD",10 - 15 Năm,Giám đốc,Nhân viên chính thức,"Tiếp thị / Marketing, Tiếp thị trực tuyến","Laptop, Chế độ bảo hiểm, Du Lịch, Phụ cấp, Chế độ thưởng, Chăm sóc sức khỏe, Đào tạo, Tăng lương, Công tác phí, Phụ cấp thâm niên, Nghỉ phép năm","MÔ TẢ CÔNG VIỆC
Quản lý và Điều hành Hoạt động Tài chính - Kế toán:
Lập kế hoạch, tổ chức và giám sát hoạt động của phòng tài chính - kế toán để đảm bảo tuân thủ các quy định tài chính, kế toán và pháp luật hiện hành.
Xây dựng, hoàn thiện quy trình tài chính - kế toán nội bộ để nâng cao hiệu quả quản lý.
Giám sát hoạt động kế toán hàng ngày bao gồm ghi chép sổ sách, quản lý tài sản, và các báo cáo tài chính.
Kiểm soát và Lập Báo cáo Tài chính:
Đảm bảo báo cáo tài chính hàng tháng, quý, và năm được thực hiện đúng hạn và chính xác, tuân thủ chuẩn mực kế toán và pháp luật.
Phân tích báo cáo tài chính, cung cấp dữ liệu chính xác để hỗ trợ ban giám đốc ra quyết định.
Đánh giá tình hình tài chính công ty và đề xuất các biện pháp quản lý dòng tiền hiệu quả.
Quản lý Ngân sách và Kiểm soát Chi phí:
Phối hợp với các phòng ban để lập và giám sát thực hiện ngân sách hàng năm của công ty.
Theo dõi, kiểm soát chi phí sản xuất và hoạt động, đảm bảo tuân thủ ngân sách và tìm kiếm các cơ hội tối ưu hóa chi phí.
Dự đoán và kiểm soát dòng tiền nhằm đảm bảo tính thanh khoản của công ty.
Kiểm soát Nội bộ và Quản lý Rủi ro Tài chính:
Thiết lập và cải tiến các quy trình kiểm soát nội bộ nhằm giảm thiểu rủi ro trong các hoạt động tài chính.
Phân tích và báo cáo các rủi ro tài chính tiềm ẩn, đưa ra các biện pháp phòng ngừa và giải pháp xử lý.
Đảm bảo tính chính xác của các khoản nợ phải trả và thu hồi công nợ, phối hợp chặt chẽ với bộ phận bán hàng và sản xuất.
Quan hệ với Cơ quan Thuế và Kiểm toán:
Quản lý và duy trì mối quan hệ tốt với các cơ quan thuế và kiểm toán.
Đảm bảo thực hiện đúng các quy định về thuế và các báo cáo thuế hàng năm.
Phối hợp và hỗ trợ kiểm toán nội bộ và kiểm toán độc lập khi cần thiết.
Xây dựng và Phát triển Đội ngũ Kế toán:
Tuyển dụng, đào tạo và phát triển đội ngũ kế toán viên, đảm bảo nhân sự có đủ năng lực và kỹ năng chuyên môn.
Đánh giá và cải tiến kỹ năng cho đội ngũ, đồng thời khuyến khích tính minh bạch và trách nhiệm trong công việc.","YÊU CẦU CÔNG VIỆC
Tốt nghiệp đại học trở lên chuyên ngành Kế toán, Tài chính hoặc các ngành liên quan.
Ít nhất 8 năm kinh nghiệm trong lĩnh vực tài chính - kế toán, trong đó có ít nhất 3 năm ở vị trí Kế toán trưởng hoặc Giám đốc Tài chính trong công ty sản xuất.
Am hiểu sâu về các quy định, chuẩn mực kế toán, tài chính và các quy định pháp luật có liên quan.
Khả năng phân tích tài chính, quản lý ngân sách, và kỹ năng lãnh đạo, tổ chức công việc.
Kỹ năng giao tiếp tốt, có khả năng tư vấn và làm việc hiệu quả với các phòng ban khác.",Not Found,"Bằng cấp: Đại học
Giới tính: Nữ
Độ tuổi: 35 - 50
Lương: 1,000 - 1,500 USD"
https://careerviet.vn/vi/tim-viec-lam/truong-ca-ban-hang-tokyolife-tp-hai-duong.35C26A2F.html,Hải Dương,13/11/2024,13/12/2024,7 Tr - 10 Tr VND,Trên 1 Năm,Trưởng nhóm / Giám sát,Nhân viên chính thức,"Bán lẻ / Bán sỉ, Bán hàng / Kinh doanh","Chế độ bảo hiểm, Đồng phục, Chế độ thưởng, Đào tạo, Tăng lương, Công tác phí, Nghỉ phép năm","MÔ TẢ CÔNG VIỆC
Triển khai kế hoạch thực hiện, hoàn thành chỉ tiêu doanh số, chỉ tiêu chất lượng dịch vụ của cá nhân và cửa hàng
Điều hành hoạt động vận hành tại cửa hàng theo ca làm việc
Phối hợp với QLCH quản lý, đào tạo và phát triển nhân viên trong ca làm việc
Quản lý hàng hóa cửa hàng
Duy trì hình ảnh cửa hàng, sắp xếp hàng hóa trong cửa hàng
Thực hiện báo cáo quỹ
Các nhiệm vụ khác theo yêu cầu của quản lý","YÊU CẦU CÔNG VIỆC
Tốt nghiệp Trung cấp trở lên
Ít nhất 1 năm kinh nghiệm trong ngành bán lẻ/ FMCG, 6 tháng kinh nghiệm ở vị trí tương đương
Được đào tạo các khóa về Kỹ năng huấn luyện và kèm cặp nhân viên; Kỹ năng vượt qua phản đối của khách hàng, Kỹ năng bán hàng chuyên nghiệp là một lợi thế
 Sức khỏe tốt, không hạn chế thời gian - Nhanh nhẹn, năng động ",Hải Dương,"Bằng cấp: Trung cấp
Độ tuổi: 18 - 30
Lương: 7 Tr - 10 Tr VND"
